baud_rate,measured_velocity
29600,0.2164259
29700,0.22781674
29800,0.22781674
29900,0.22781674
30000,0.22781674
30100,0.22781674
30200,0.22781674
30300,0.22781674
30400,0.23351216
30500,0.22781674
30600,0.22781674
30700,0.23351216
30800,0.23351216
30900,0.23351216
31000,0.23351216
31100,0.23351216
31200,0.23351216
31300,0.23920758
31400,0.23351216
31500,0.23920758
31600,0.23920758
31700,0.23920758
31800,0.23920758
31900,0.23920758
32000,0.23920758
32100,0.244903
32200,0.244903
32300,0.244903
32400,0.244903
32500,0.244903
32600,0.244903
32700,0.244903
32800,0.244903
32900,0.2505984
33000,0.2505984
33100,0.2505984
33200,0.2505984
33300,0.2505984
33400,0.2505984
33500,0.2505984
33600,0.2505984
33700,0.2562938
33800,0.2562938
33900,0.2562938
34000,0.2562938
34100,0.26198928
34200,0.26768468
34300,0.26198928
34400,0.26768468
34500,0.26768468
34600,0.26768468
34700,0.26198928
34800,0.26198928
34900,0.26768468
35000,0.26768468
35100,0.26768468
35200,0.26768468
35300,0.26768468
35400,0.26768468
35500,0.26198928
35600,0.26768468
35700,0.26768468
35800,0.26768468
35900,0.26198928
36000,0.26768468
36100,0.26198928
36200,0.26768468
36300,0.26198928
36400,0.26198928
36500,0.26198928
36600,0.26198928
36700,0.26768468
36800,0.26768468
36900,0.26768468
37000,0.2733801
37100,0.28477094
37200,0.28477094
37300,0.28477094
37400,0.28477094
37500,0.28477094
37600,0.28477094
37700,0.29046634
37800,0.29046634
37900,0.29046634
38000,0.29046634
38100,0.29046634
38200,0.29046634
38300,0.29616174
38400,0.29616174
38500,0.29616174
38600,0.29046634
38700,0.29616174
38800,0.29616174
38900,0.29616174
39000,0.30185716
39100,0.29616174
39200,0.30185716
39300,0.30185716
39400,0.29616174
39500,0.30185716
39600,0.30185716
39700,0.30185716
39800,0.30185716
39900,0.30185716
40000,0.3075526
40100,0.3075526
40200,0.3075526
40300,0.3075526
40400,0.3075526
40500,0.313248
40600,0.313248
40700,0.313248
40800,0.313248
40900,0.3075526
41000,0.313248
41100,0.3075526
41200,0.31894344
41300,0.313248
41400,0.31894344
41500,0.32463884
41600,0.31894344
41700,0.32463884
41800,0.31894344
41900,0.32463884
42000,0.33033428
42100,0.32463884
42200,0.33602968
42300,0.31894344
42400,0.313248
42500,0.32463884
42600,0.32463884
42700,0.32463884
42800,0.32463884
42900,0.33033428
43000,0.33033428
43100,0.33033428
43200,0.32463884
43300,0.33033428
43400,0.3417251
43500,0.347420536
43600,0.347420536
43700,0.3417251
43800,0.33602968
43900,0.3417251
44000,0.33602968
44100,0.33602968
44200,0.33602968
44300,0.3417251
44400,0.3417251
44500,0.33602968
44600,0.33602968
44700,0.3417251
44800,0.347420536
44900,0.347420536
45000,0.347420536
45100,0.347420536
45200,0.347420536
45300,0.35881136
45400,0.347420536
45500,0.35881136
45600,0.347420536
45700,0.353115968
45800,0.353115968
45900,0.353115968
46000,0.353115968
46100,0.36450676
46200,0.35881136
46300,0.35881136
46400,0.35881136
46500,0.35881136
46600,0.35881136
46700,0.35881136
46800,0.35881136
46900,0.36450676
47000,0.35881136
47100,0.35881136
47200,0.36450676
47300,0.36450676
47400,0.36450676
47500,0.35881136
47600,0.370202168
47700,0.370202168
47800,0.36450676
47900,0.35881136
48000,0.36450676
48100,0.36450676
48200,0.370202168
48300,0.37589762
48400,0.370202168
48500,0.36450676
48600,0.37589762
48700,0.37589762
48800,0.370202168
48900,0.370202168
49000,0.370202168
49100,0.38159304
49200,0.38159304
49300,0.38159304
49400,0.38159304
49500,0.38159304
49600,0.38728844
49700,0.38159304
49800,0.38728844
49900,0.38159304
50000,0.39298388
50100,0.38728844
50200,0.3986793
50300,0.38728844
50400,0.39298388
50500,0.3986793
50600,0.39298388
50700,0.4043747
50800,0.39298388
50900,0.39298388
51000,0.3986793
51100,0.39298388
51200,0.39298388
51300,0.3986793
51400,0.3986793
51500,0.3986793
51600,0.3986793
51700,0.3986793
51800,0.3986793
51900,0.3986793
52000,0.42715636
52100,0.4328518
52200,0.4043747
52300,0.4043747
52400,0.41576552
52500,0.41007016
52600,0.41007016
52700,0.4043747
52800,0.41576552
52900,0.41007016
53000,0.41007016
53100,0.41576552
53200,0.4328518
53300,0.42715636
53400,0.449938036
53500,0.42715636
53600,0.41576552
53700,0.41007016
53800,0.4385472
53900,0.41576552
54000,0.4385472
54100,0.41007016
54200,0.4328518
54300,0.42715636
54400,0.42146096
54500,0.42715636
54600,0.42146096
54700,0.42715636
54800,0.4385472
54900,0.4385472
55000,0.4328518
55100,0.41576552
55200,0.42146096
55300,0.4442427
55400,0.4385472
55500,0.4328518
55600,0.4442427
55700,0.4385472
55800,0.42715636
55900,0.4556335
56000,0.4385472
56100,0.42715636
56200,0.4385472
56300,0.42715636
56400,0.4385472
56500,0.4328518
56600,0.4328518
56700,0.4385472
56800,0.42715636
56900,0.449938036
57000,0.4385472
57100,0.4442427
57200,0.4556335
57300,0.449938036
57400,0.449938036
57500,0.4556335
57600,0.4556335
57700,0.4442427
57800,0.449938036
57900,0.449938036
58000,0.449938036
58100,0.4556335
58200,0.4556335
58300,0.4556335
58400,0.4556335
58500,0.4556335
58600,0.4556335
58700,0.4556335
58800,0.4556335
58900,0.4556335
59000,0.4556335
59100,0.47271972
59200,0.47271972
59300,0.46702432
59400,0.47271972
59500,0.48411056
59600,0.46702432
59700,0.47841516
59800,0.47841516
59900,0.489806
60000,0.46702432
60100,0.47841516
60200,0.47841516
60300,0.48411056
60400,0.47841516
60500,0.46702432
60600,0.46702432
60700,0.47271972
60800,0.47841516
60900,0.47841516
61000,0.47271972
61100,0.47271972
61200,0.47271972
61300,0.47271972
61400,0.47271972
61500,0.489806
61600,0.489806
61700,0.47841516
61800,0.47841516
61900,0.47841516
62000,0.48411056
62100,0.48411056
62200,0.48411056
62300,0.48411056
62400,0.489806
62500,0.48411056
62600,0.489806
62700,0.48411056
62800,0.48411056
62900,0.489806
63000,0.48411056
63100,0.489806
63200,0.489806
63300,0.5011968
63400,0.489806
63500,0.489806
63600,0.49550144
63700,0.489806
63800,0.49550144
63900,0.49550144
64000,0.49550144
64100,0.49550144
64200,0.49550144
64300,0.49550144
64400,0.49550144
64500,0.5011968
64600,0.49550144
64700,0.5011968
64800,0.5011968
64900,0.5011968
65000,0.5011968
65100,0.50689224
65200,0.50689224
65300,0.50689224
65400,0.50689224
65500,0.50689224
